2020-10-11 00:15:24.787+00:00 | TimeTickChannel-0 | INFO  | teku-event-log | [37mSlot Event  *** Slot: 485776, Block: acb87b..682d, Epoch: 15180, Finalized checkpoint: 15178, Finalized root: 18466e..5641, Peers: 25[0m
2020-10-11 00:15:36.691+00:00 | TimeTickChannel-0 | INFO  | teku-event-log | [37mSlot Event  *** Slot: 485777, Block: 0aef57..7435, Epoch: 15180, Finalized checkpoint: 15178, Finalized root: 18466e..5641, Peers: 25[0m
2020-10-11 00:15:48.774+00:00 | TimeTickChannel-0 | INFO  | teku-event-log | [37mSlot Event  *** Slot: 485778, Block: c9fa4a..8d76, Epoch: 15180, Finalized checkpoint: 15178, Finalized root: 18466e..5641, Peers: 25[0m
2020-10-11 00:16:00.775+00:00 | TimeTickChannel-0 | INFO  | teku-event-log | [37mSlot Event  *** Slot: 485779, Block: c83a6c..b642, Epoch: 15180, Finalized checkpoint: 15178, Finalized root: 18466e..5641, Peers: 25[0m
2020-10-11 00:16:12.775+00:00 | TimeTickChannel-0 | INFO  | teku-event-log | [37mSlot Event  *** Slot: 485780, Block: 55ff16..e7b9, Epoch: 15180, Finalized checkpoint: 15178, Finalized root: 18466e..5641, Peers: 25[0m
2020-10-11 00:16:24.818+00:00 | TimeTickChannel-0 | INFO  | teku-event-log | [37mSlot Event  *** Slot: 485781, Block: cf8fb6..b575, Epoch: 15180, Finalized checkpoint: 15178, Finalized root: 18466e..5641, Peers: 25[0m
2020-10-11 00:16:36.813+00:00 | TimeTickChannel-0 | INFO  | teku-event-log | [37mSlot Event  *** Slot: 485782, Block: e5fd0c..3146, Epoch: 15180, Finalized checkpoint: 15178, Finalized root: 18466e..5641, Peers: 25[0m
2020-10-11 00:16:48.810+00:00 | TimeTickChannel-0 | INFO  | teku-event-log | [37mSlot Event  *** Slot: 485783, Block:    ... empty, Epoch: 15180, Finalized checkpoint: 15178, Finalized root: 18466e..5641, Peers: 25[0m
2020-10-11 00:17:00.726+00:00 | TimeTickChannel-0 | INFO  | teku-event-log | [37mSlot Event  *** Slot: 485784, Block: f171a6..2801, Epoch: 15180, Finalized checkpoint: 15178, Finalized root: 18466e..5641, Peers: 24[0m
2020-10-11 00:17:12.768+00:00 | TimeTickChannel-0 | INFO  | teku-event-log | [37mSlot Event  *** Slot: 485785, Block: e8a201..44f9, Epoch: 15180, Finalized checkpoint: 15178, Finalized root: 18466e..5641, Peers: 24[0m
2020-10-11 00:17:24.768+00:00 | TimeTickChannel-0 | INFO  | teku-event-log | [37mSlot Event  *** Slot: 485786, Block: 332ef4..89c2, Epoch: 15180, Finalized checkpoint: 15178, Finalized root: 18466e..5641, Peers: 24[0m
2020-10-11 00:17:36.779+00:00 | TimeTickChannel-0 | INFO  | teku-event-log | [37mSlot Event  *** Slot: 485787, Block: 437b6d..e201, Epoch: 15180, Finalized checkpoint: 15178, Finalized root: 18466e..5641, Peers: 24[0m
2020-10-11 00:17:48.784+00:00 | TimeTickChannel-0 | INFO  | teku-event-log | [37mSlot Event  *** Slot: 485788, Block:    ... empty, Epoch: 15180, Finalized checkpoint: 15178, Finalized root: 18466e..5641, Peers: 25[0m
2020-10-11 00:18:00.783+00:00 | TimeTickChannel-0 | INFO  | teku-event-log | [37mSlot Event  *** Slot: 485789, Block: a0635e..0195, Epoch: 15180, Finalized checkpoint: 15178, Finalized root: 18466e..5641, Peers: 25[0m
2020-10-11 00:18:12.799+00:00 | TimeTickChannel-0 | INFO  | teku-event-log | [37mSlot Event  *** Slot: 485790, Block: f7dea5..2c13, Epoch: 15180, Finalized checkpoint: 15178, Finalized root: 18466e..5641, Peers: 25[0m
2020-10-11 00:18:24.683+00:00 | TimeTickChannel-0 | INFO  | teku-event-log | [37mSlot Event  *** Slot: 485791, Block: 24d043..bb4e, Epoch: 15180, Finalized checkpoint: 15178, Finalized root: 18466e..5641, Peers: 25[0m
2020-10-11 00:18:32.139+00:00 | TimeTickChannel-0 | INFO  | teku-event-log | [32mEpoch Event *** Epoch: 15181, Justified checkpoint: 15179, Finalized checkpoint: 15178, Finalized root: 18466e..5641[0m
2020-10-11 00:18:36.795+00:00 | TimeTickChannel-0 | INFO  | teku-event-log | [37mSlot Event  *** Slot: 485792, Block:    ... empty, Epoch: 15181, Finalized checkpoint: 15178, Finalized root: 18466e..5641, Peers: 25[0m
2020-10-11 00:18:44.088+00:00 | beaconchain-async-29 | INFO  | RecentChainData | Chain reorg from 24d043..bb4e (485792) to 167e2f..f13c (485792). Common ancestor at slot 485791
2020-10-11 00:18:44.088+00:00 | TimeTickChannel-0 | INFO  | teku-event-log | [32mEpoch Event *** Epoch: 15181, Justified checkpoint: 15180, Finalized checkpoint: 15179, Finalized root: c82626..182b[0m
2020-10-11 00:18:45.004+00:00 | TimeTickChannel-0 | INFO  | teku-event-log | [37mSlot Event  *** Slot: 485792, Block: 167e2f..f13c, Epoch: 15181, Finalized checkpoint: 15179, Finalized root: c82626..182b, Peers: 25[0m
2020-10-11 00:18:48.766+00:00 | TimeTickChannel-0 | INFO  | teku-event-log | [37mSlot Event  *** Slot: 485793, Block:    ... empty, Epoch: 15181, Finalized checkpoint: 15179, Finalized root: c82626..182b, Peers: 25[0m
2020-10-11 00:19:00.767+00:00 | TimeTickChannel-0 | INFO  | teku-event-log | [37mSlot Event  *** Slot: 485794, Block:    ... empty, Epoch: 15181, Finalized checkpoint: 15179, Finalized root: c82626..182b, Peers: 26[0m
2020-10-11 00:19:12.787+00:00 | TimeTickChannel-0 | INFO  | teku-event-log | [37mSlot Event  *** Slot: 485795, Block: 16d64c..07f8, Epoch: 15181, Finalized checkpoint: 15179, Finalized root: c82626..182b, Peers: 25[0m
2020-10-11 00:19:24.787+00:00 | TimeTickChannel-0 | INFO  | teku-event-log | [37mSlot Event  *** Slot: 485796, Block:    ... empty, Epoch: 15181, Finalized checkpoint: 15179, Finalized root: c82626..182b, Peers: 25[0m
2020-10-11 00:19:36.780+00:00 | TimeTickChannel-0 | INFO  | teku-event-log | [37mSlot Event  *** Slot: 485797, Block: 4ddebb..9b74, Epoch: 15181, Finalized checkpoint: 15179, Finalized root: c82626..182b, Peers: 25[0m
2020-10-11 00:19:48.766+00:00 | TimeTickChannel-0 | INFO  | teku-event-log | [37mSlot Event  *** Slot: 485798, Block: f039da..fdfe, Epoch: 15181, Finalized checkpoint: 15179, Finalized root: c82626..182b, Peers: 25[0m
2020-10-11 00:20:00.762+00:00 | TimeTickChannel-0 | INFO  | teku-event-log | [37mSlot Event  *** Slot: 485799, Block: f65fba..7d17, Epoch: 15181, Finalized checkpoint: 15179, Finalized root: c82626..182b, Peers: 25[0m
2020-10-11 00:20:12.786+00:00 | TimeTickChannel-0 | INFO  | teku-event-log | [37mSlot Event  *** Slot: 485800, Block: a7cf3a..591c, Epoch: 15181, Finalized checkpoint: 15179, Finalized root: c82626..182b, Peers: 25[0m
2020-10-11 00:20:24.776+00:00 | TimeTickChannel-0 | INFO  | teku-event-log | [37mSlot Event  *** Slot: 485801, Block:    ... empty, Epoch: 15181, Finalized checkpoint: 15179, Finalized root: c82626..182b, Peers: 25[0m
