datetime,current_slot,head_slot,connected_peer
Oct-12 01:12:08,493260,64687,14
Oct-12 01:12:20,493261,64786,14
Oct-12 01:12:32,493262,64881,15
Oct-12 01:12:46,493263,64881,15
Oct-12 01:12:57,493264,64881,15
Oct-12 01:13:09,493265,65184,15
Oct-12 01:13:22,493266,65281,15
Oct-12 01:13:33,493267,65377,15
Oct-12 01:13:46,493268,65377,15
Oct-12 01:13:58,493269,65584,15
Oct-12 01:14:10,493270,65667,15
Oct-12 01:14:21,493271,65760,15
Oct-12 01:14:32,493272,65856,15
Oct-12 01:14:44,493273,65952,15
Oct-12 01:14:57,493274,66064,15
Oct-12 01:15:09,493275,66144,15
Oct-12 01:15:21,493276,66240,15
Oct-12 01:15:34,493277,66336,15
Oct-12 01:15:45,493278,66434,15
Oct-12 01:15:56,493279,66529,15
Oct-12 01:16:08,493280,66630,15
Oct-12 01:16:21,493281,66721,15
Oct-12 01:16:32,493282,66820,15
Oct-12 01:16:44,493283,66932,15
Oct-12 01:16:56,493284,67014,15
Oct-12 01:17:09,493285,67116,15
Oct-12 01:17:21,493286,67200,15
Oct-12 01:17:34,493287,67200,15
Oct-12 01:17:45,493288,67200,15
Oct-12 01:17:57,493289,67200,15
Oct-12 01:18:09,493290,67585,15
Oct-12 01:18:22,493291,67585,15
Oct-12 01:18:34,493292,67791,15
Oct-12 01:18:45,493293,67873,15
Oct-12 01:18:57,493294,67985,15
Oct-12 01:19:09,493295,68068,15
Oct-12 01:19:21,493296,68068,15
Oct-12 01:19:34,493297,68269,15
Oct-12 01:19:45,493298,68352,15
Oct-12 01:19:58,493299,68461,15
Oct-12 01:20:09,493300,68547,15
Oct-12 01:20:22,493301,68641,15
Oct-12 01:20:33,493302,68641,16
Oct-12 01:20:45,493303,68834,16
Oct-12 01:20:58,493304,68834,16
Oct-12 01:21:10,493305,68834,16
Oct-12 01:21:22,493306,68834,16
Oct-12 01:21:34,493307,68834,16
Oct-12 01:21:46,493308,68834,16
Oct-12 01:21:57,493309,69440,16
Oct-12 01:22:08,493310,69538,16
Oct-12 01:22:20,493311,69658,16
Oct-12 01:22:32,493312,69760,16
Oct-12 01:22:44,493313,69867,16
Oct-12 01:22:57,493314,69994,16
Oct-12 01:23:09,493315,70081,16
Oct-12 01:23:21,493316,70177,16
Oct-12 01:23:32,493317,70270,16
Oct-12 01:23:46,493318,70368,16
Oct-12 01:23:58,493319,70368,16
Oct-12 01:24:09,493320,70560,16
Oct-12 01:24:21,493321,70657,16
Oct-12 01:24:33,493322,70763,16
Oct-12 01:24:44,493323,70848,16
Oct-12 01:24:56,493324,70956,16
Oct-12 01:25:08,493325,71059,16
Oct-12 01:25:22,493326,71183,16
Oct-12 01:25:33,493327,71264,16
Oct-12 01:25:46,493328,71372,16
Oct-12 01:25:57,493329,71471,16
Oct-12 01:26:10,493330,71570,16
Oct-12 01:26:21,493331,71570,16
Oct-12 01:26:33,493332,71756,16
Oct-12 01:26:45,493333,71856,16
Oct-12 01:26:56,493334,71948,16
Oct-12 01:27:08,493335,72032,16
Oct-12 01:27:21,493336,72171,16
Oct-12 01:27:32,493337,72256,16
Oct-12 01:27:44,493338,72356,16
Oct-12 01:27:56,493339,72450,16
Oct-12 01:28:10,493340,72450,16
Oct-12 01:28:22,493341,72676,16
Oct-12 01:28:34,493342,72676,16
Oct-12 01:28:45,493343,72864,16
Oct-12 01:28:57,493344,72961,16
Oct-12 01:29:09,493345,73056,16
Oct-12 01:29:20,493346,73152,16
Oct-12 01:29:32,493347,73248,16
